Experiment,Runtime Variance, Runtime Ratio, Size Variance, Size Ratio
pinMain.mpicc.nas.ep.1.16,0.01,0.01,0.00,0.01
pinMain.mpicc.nas.ft.1.16,0.00,0.00,0.00,0.00
pinMain.mpicc.nas.is.1.16,0.00,0.01,0.00,0.01
pinMain.mpicc.nas.lu.1.16,0.01,0.00,703.59,0.00
pinMain.mpicc.nas.mg.1.16,0.00,0.00,13.72,0.00
pinMain.mpicc.nas.sp.1.16,0.00,0.00,0.04,0.00
pinMain.mpicc.nas.bt.4.64,0.01,0.00,183.78,0.00
pinMain.mpicc.nas.cg.4.64,0.19,0.05,204.81,0.05
pinMain.mpicc.nas.ep.4.64,0.15,0.05,0.53,0.05
pinMain.mpicc.nas.ft.4.64,0.60,0.09,9.71,0.09
pinMain.mpicc.nas.is.4.64,0.18,0.11,0.09,0.11
pinMain.mpicc.nas.lu.4.64,0.13,0.03,90791.26,0.03
pinMain.mpicc.nas.mg.4.64,0.02,0.03,6.35,0.03
pinMain.mpicc.nas.sp.4.64,0.44,0.04,3085.72,0.04
pinMain.mpicc.nas.bt.16.256,0.02,0.02,85902970.89,0.02
pinMain.mpicc.nas.cg.16.256,0.07,0.04,208339.31,0.04
pinMain.mpicc.nas.ep.16.256,0.01,0.02,15.10,0.02
pinMain.mpicc.nas.ft.16.256,0.01,0.02,300.06,0.02
pinMain.mpicc.nas.is.16.256,0.01,0.02,536.71,0.02
pinMain.mpicc.nas.lu.16.256,0.71,0.10,120877.99,0.10
pinMain.mpicc.nas.mg.16.256,0.38,0.14,749.95,0.14
pinMain.mpicc.nas.sp.16.256,13.92,0.41,100854.30,0.41
pinMain.mpicc.nas.bt.64.1024,2.76,0.06,1462005.47,0.06
pinMain.mpicc.nas.cg.64.1024,0.22,0.06,6411.97,0.06
pinMain.mpicc.nas.ep.64.1024,0.09,0.05,165.99,0.05
pinMain.mpicc.nas.ft.64.1024,1164.48,1.77,67857055.76,1.77
pinMain.mpicc.nas.is.64.1024,1254.30,1.12,93446767.65,1.12
pinMain.mpicc.nas.lu.64.1024,0.01,0.01,1016635.88,0.01
pinMain.mpicc.nas.mg.64.1024,5.60,0.35,30288877.15,0.35
pinMain.mpicc.nas.sp.64.1024,0.23,0.06,186630.11,0.06
tau_exec.mpicc.nas.bt.1.16,0.54,0.02,0.00,0.02
tau_exec.mpicc.nas.cg.1.16,0.00,0.00,0.02,0.00
tau_exec.mpicc.nas.ep.1.16,0.00,0.00,0.00,0.00
tau_exec.mpicc.nas.ft.1.16,0.00,0.00,0.00,0.00
tau_exec.mpicc.nas.is.1.16,0.63,0.32,0.01,0.32
tau_exec.mpicc.nas.lu.1.16,0.30,0.02,0.00,0.02
tau_exec.mpicc.nas.mg.1.16,0.01,0.02,0.00,0.02
tau_exec.mpicc.nas.sp.1.16,0.01,0.00,0.00,0.00
tau_exec.mpicc.nas.bt.4.64,1.32,0.10,0.01,0.10
tau_exec.mpicc.nas.cg.4.64,0.07,0.06,0.36,0.06
tau_exec.mpicc.nas.ep.4.64,0.02,0.06,0.61,0.06
tau_exec.mpicc.nas.ft.4.64,0.16,0.08,0.00,0.08
tau_exec.mpicc.nas.is.4.64,0.90,0.40,0.47,0.40
tau_exec.mpicc.nas.lu.4.64,0.01,0.01,13.95,0.01
tau_exec.mpicc.nas.mg.4.64,0.00,0.02,0.00,0.02
tau_exec.mpicc.nas.sp.4.64,0.15,0.03,0.01,0.03
tau_exec.mpicc.nas.bt.16.256,0.13,0.07,9.16,0.07
tau_exec.mpicc.nas.cg.16.256,0.33,0.16,0.07,0.16
tau_exec.mpicc.nas.ep.16.256,0.23,0.27,232.82,0.27
tau_exec.mpicc.nas.ft.16.256,0.01,0.03,4.14,0.03
tau_exec.mpicc.nas.is.16.256,0.27,0.22,24.06,0.22
tau_exec.mpicc.nas.lu.16.256,0.06,0.02,321.99,0.02
tau_exec.mpicc.nas.mg.16.256,0.01,0.04,7.54,0.04
tau_exec.mpicc.nas.sp.16.256,0.35,0.10,397.93,0.10
tau_exec.mpicc.nas.bt.64.1024,0.01,0.01,5266.01,0.01
tau_exec.mpicc.nas.cg.64.1024,13.64,0.49,6696.96,0.49
tau_exec.mpicc.nas.ep.64.1024,0.01,0.02,1822.33,0.02
tau_exec.mpicc.nas.ft.64.1024,1.55,0.19,305.35,0.19
tau_exec.mpicc.nas.is.64.1024,0.50,0.09,9.52,0.09
tau_exec.mpicc.nas.lu.64.1024,2.34,0.11,79.45,0.11
tau_exec.mpicc.nas.mg.64.1024,1.29,0.25,15.65,0.25
tau_exec.mpicc.nas.sp.64.1024,0.00,0.00,3002.23,0.00
