Tool,Compiler,Benchmark,Application,#nodes,#processes,avg Runtime(s)-real,avg Runtime(s)-user, avg Size(KB)
pinAll,mpicc,hpgmg,fe,4,64,4.9073333333333329,1.083,0.0654296875
pinAll,mpicc,hpgmg,fv1,4,64,4.8319999999999999,1.085,0.064453125
pinAll,mpicc,hpgmg,fv2,4,64,4.5060000000000002,1.0803333333333331,0.064453125
pinAll,mpicc,hpgmg,fv3,4,64,6.4420000000000002,1.0856666666666668,0.064453125
pinAll,mpicc,nas,bt,1,16,4.4743333333333339,0.90700000000000003,0.064453125
pinAll,mpicc,nas,cg,1,16,5.0219999999999994,0.90399999999999991,0.064453125
pinAll,mpicc,nas,ep,1,16,5.4059999999999997,0.89866666666666672,0.064453125
pinAll,mpicc,nas,ft,1,16,4.5640000000000001,0.91066666666666674,0.064453125
pinAll,mpicc,nas,is,1,16,4.464666666666667,0.90066666666666662,0.064453125
pinAll,mpicc,nas,lu,1,16,4.7450000000000001,0.90566666666666673,0.064453125
pinAll,mpicc,nas,mg,1,16,6.3689999999999998,0.89900000000000002,0.064453125
pinAll,mpicc,nas,sp,1,16,5.9029999999999996,0.90366666666666673,0.064453125
pinAll,mpicc,nas,bt,4,64,4.6610000000000005,1.0900000000000001,0.064453125
pinAll,mpicc,nas,cg,4,64,4.9556666666666667,1.0746666666666667,0.0654296875
pinAll,mpicc,nas,ep,4,64,4.8120000000000003,1.0760000000000001,0.064453125
pinAll,mpicc,nas,ft,4,64,4.6640000000000006,1.0816666666666668,0.064453125
pinAll,mpicc,nas,is,4,64,4.5270000000000001,1.0896666666666668,0.064453125
pinAll,mpicc,nas,lu,4,64,4.5146666666666659,1.0923333333333332,0.0654296875
pinAll,mpicc,nas,mg,4,64,6.5793333333333335,1.0853333333333333,0.064453125
pinAll,mpicc,nas,sp,4,64,4.7606666666666664,1.085,0.064453125
pinAll,mpicc,pkifmm,ex0-1,1,16,4.4993333333333334,0.90966666666666673,0.064453125
pinAll,mpicc,pkifmm,ex0-2,1,16,6.208333333333333,0.90633333333333344,0.064453125
pinAll,mpicc,pkifmm,ex1-1,1,16,5.048,0.90200000000000002,0.064453125
pinAll,mpicc,pkifmm,ex1-2,1,16,4.4973333333333327,0.90433333333333332,0.064453125
pinAll,mpicc,pkifmm,ex2-1,1,16,4.8173333333333339,0.89166666666666672,0.064453125
pinAll,mpicc,pkifmm,ex2-2,1,16,4.496666666666667,0.90400000000000003,0.064453125
pinAll,mpicc,pkifmm,ex3-1,1,16,5.1630000000000003,0.90600000000000003,0.064453125
pinAll,mpicc,pkifmm,ex3-2,1,16,4.8540000000000001,0.89833333333333343,0.064453125
pinAll,mpicc,pkifmm,ex0-1,4,64,4.580000000000001,1.1176666666666668,0.0654296875
pinAll,mpicc,pkifmm,ex0-2,4,64,5.8693333333333335,1.1210000000000002,0.064453125
pinAll,mpicc,pkifmm,ex1-1,4,64,4.8463333333333329,1.1126666666666667,0.0654296875
pinAll,mpicc,pkifmm,ex1-2,4,64,4.8536666666666664,1.1376666666666668,0.064453125
